x,Emix_1250,Emix_1100,Emix_1500,Emix_D3_1250,x_yin,E_yin,x_Rycerz,E_Rycerz,x_Ghosh,E_Ghosh,x_pinto,E_pinto,x_cx,1500cx,1250cx,1100cx
0,0,0,0,0,0,0,0,0,0,-0.000152413,0.433333333,-0.164273424,0,0,0,0
0.125,-0.06357,-0.06068,-0.06056,-0.088839089,0.1,-0.073196016,0.051233892,-0.023971388,0.020915033,-0.041761226,,,0.1,-0.059671415,-0.041185478,-0.097220719
0.25,-0.100347365,-0.100411,-0.095431889,-0.131876743,0.2,-0.117331888,0.101786406,-0.052525541,0.066666667,-0.115376819,,,0.2,-0.123045611,-0.123978401,-0.115115999
0.285714286,-0.107213,-0.112212,-0.111372979,-0.145747837,0.3,-0.137205502,0.198909352,-0.122324582,0.112418301,-0.162015269,,,0.25,-0.152182799,-0.118795327,-0.128762446
0.357142857,-0.13765,-0.132934575,-0.137107264,-0.170702327,0.4,-0.137614743,0.288371218,-0.169209796,0.159477124,-0.190821371,,,0.34,-0.124769729,-0.161312966,-0.178418073
0.5,-0.1185,-0.12277,-0.119919,-0.161789,0.5,-0.123357499,0.34879708,-0.179080367,0.181699346,-0.199508925,,,0.45,-0.149905694,-0.167393801,-0.193278483
0.75,-0.084266,-0.087654,-0.085084886,-0.105333332,0.6,-0.099231655,0.402380399,-0.191066061,0.274509804,-0.216426794,,,0.55,-0.109036288,-0.130050066,-0.158667734
0.85,-0.047324684,-0.050050892,-0.053844993,-0.056829286,0.7,-0.070035097,0.439475693,-0.187540857,0.307189542,-0.217341274,,,0.75,-0.06225831,-0.063202266,-0.13451522
1,0,0,0,0,0.8,-0.040565711,0.500998839,-0.178022806,0.367320261,-0.213226116,,,0.85,-0.009230175,-0.048488576,-0.12830558
,,,,,0.9,-0.015621383,0.597612964,-0.173440041,0.498039216,-0.190364131,,,1,0,0,0
,,,,,1,0,0.701213428,-0.143828327,0.606535948,-0.16064355,,,,,,
,,,,,,,0.802002102,-0.095885551,0.71503268,-0.123149894,,,,,,
,,,,,,,0.905737515,-0.044770092,0.869281046,-0.060508054,,,,,,
,,,,,,,1,0,1,0.000304826,,,,,,