x_ddsc,rho_rho0_dDsC_1250,rho_rho0_dDsC_1100,rho_rho0_dDsC_1500,rho_rho0_D3_1250,x_Desyatnik,rho_rho0_Desyatnik_1250,rho_rho0_Desyatnik_1100,rho_rho0_Desyatnik_1500,x_cx,1500cx,1250cx,1100cx,avg
0,1,1,1,1,0,1,1,1,0,1,1,1,1
0.125,0.98702,0.97668,0.98639,0.993178058,0.1,0.972573142,0.968939158,0.979856035,0.1,0.99866592,0.945268912,1.01530788,0.986414237
0.25,0.96132726,0.949873,0.97095,0.974403446,0.139,0.953778688,0.946578657,0.968107357,0.2,0.987033011,1.006555051,0.980287954,0.991292005
0.285714286,0.949425,0.946275,0.96585,0.972115993,0.22,0.956372472,0.946365629,0.976208061,0.25,0.996948453,1.000612155,0.96149965,0.986353419
0.357142857,0.97071,0.962428319,0.96977,0.97292,0.25,0.943705724,0.939201977,0.9527262,0.34,0.934153885,0.979898345,1.00490641,0.972986214
0.5,0.97702,0.97261,0.992661,0.9838,0.318,0.94823033,0.937053901,0.970300314,0.45,0.937656675,0.966683758,0.963020646,0.955787026
0.75,0.984861,0.977333,1.00556,0.98713818,0.333,0.947073165,0.935843052,0.969237023,0.55,0.950314137,0.984889579,0.974088373,0.96976403
0.85,0.987337019,0.981018279,1.01816,0.985876447,0.367,0.954121731,0.938723803,0.984400592,0.75,0.957807461,0.969311732,0.981010395,0.969376529
1,1,1,1,1,0.4,0.957001211,0.943530052,0.983485825,0.85,0.958527566,0.977680518,1.021281001,0.985829695
,,,,,0.425,0.955854437,0.946165028,0.974944627,1,1,1,1,1
,,,,,0.465,0.960806564,0.949711718,0.98260198,,,,,
,,,,,0.54,0.966913522,0.956237937,0.987827885,,,,,
,,,,,0.55,0.96405839,0.95880535,0.974443377,,,,,
,,,,,0.64,0.975881416,0.956564421,1.013416463,,,,,
,,,,,0.75,0.98138824,0.961655299,1.019557874,,,,,
,,,,,0.77,0.984837031,0.963450919,1.026160972,,,,,
,,,,,0.9,0.986604159,0.977483414,1.004169294,,,,,
,,,,,1,1,1,1,,,,,