x dD,1100d,1250d,1500d,x DF,1100 DF,1250 DF,1400 DF,x 900,900 DF
0,1.613404478,1.54496591,1.415947557,0,1.540339268,1.489876263,1.432249198,0.2,2.554899515
0.125,2.275913996,2.175362507,1.991826674,0.1,2.051183149,1.994736287,1.915698584,0.3,2.931719475
0.25,2.788374576,2.665775546,2.448363244,0.2,2.448267395,2.354214266,2.295492479,0.33,2.997947301
0.285714286,2.921620032,2.789338364,2.567002153,0.3,2.828847295,2.716193824,2.630947057,0.4,3.182277766
0.357142857,3.172782593,3.046451629,2.795453743,0.33,2.885473122,2.810281327,2.704138375,0.5,3.465362852
0.5,3.591286399,3.452764119,3.202300472,0.4,3.088326,3.011257258,2.891020265,,
0.75,4.155175655,4.002772673,3.780809025,0.5,3.340444187,3.246862631,3.142861686,,
0.85,4.342030112,4.179259639,3.971959156,0.6,3.548611995,3.475000521,3.352823807,,
1,4.601282599,4.416204097,4.095606578,0.7,3.760519459,3.65767823,3.552205652,,
,,,,0.8,3.85336209,3.76246261,3.68959827,,
,,,,0.9,4.022106212,3.932148114,3.882077493,,
,,,,1,4.100396616,4.055299783,3.934062954,,