xU,RK900,RK1100,RK1250,RK1400,RK1500
0,1.6507,1.5421,1.46065,1.3792,1.3249
0.1,2.175126704,2.053547392,1.962350252,1.871140285,1.810325435
0.2,2.612225493,2.46815824,2.360084425,2.251986865,2.179906608
0.3,2.990556667,2.822554561,2.696522491,2.570459395,2.486397411
0.4,3.327868454,3.136613795,2.993138996,2.849629742,2.753934753
0.5,3.636546849,3.423309195,3.263347265,3.103350947,2.996664598
0.6,3.925704652,3.69185318,3.516433885,3.340983223,3.223995901
0.7,4.202261814,3.949101175,3.759205335,3.569283545,3.442652279
0.8,4.471592247,4.200311794,3.996833255,3.793336076,3.657659256
0.9,4.737943076,4.449608371,4.233347714,4.017077187,3.872890458
1,5.00472,4.70028,4.47195,4.24362,4.0914