x,T1100,T1250,T1400,x900,T900
0,22.33626214,32.13979616,34.81510408,0.2,16.94272083
0.1,17.75167646,26.13620058,21.46371496,0.3,12.77319652
0.2,18.54895481,16.34028275,27.51666957,0.33,15.59056382
0.3,13.25085059,29.07925603,19.31166051,0.4,11.93639638
0.33,17.8170855,15.41189092,19.17387842,0.5,13.19131735
0.4,15.50907368,25.75391235,20.00667688,,
0.5,14.69273446,15.99588608,22.21336683,,
0.6,14.02889304,13.6824759,18.61583796,,
0.7,13.34531242,17.11983744,19.92923183,,
0.8,11.17740664,12.09795158,16.55781227,,
0.9,12.81485121,19.79174003,16.35702163,,
1,15.48795745,10.86577803,13.78806539,,