V,300K,400K,500K,600K,700K
1000,2.994,3.840397536,4.68701305,5.533628028,6.3802427
700,4.593,5.815104312,7.037275315,8.259445225,9.48161451
500,7.038,8.778133172,10.51870656,12.25927781,13.99984783
450,8.089,10.03779784,11.98679627,13.93579205,15.88478633
400,9.485,11.70125561,13.91723808,16.1332172,18.34919441
350,11.420,13.99138437,16.56273894,19.13408915,21.70543686
300,14.255,17.32548785,20.39576961,23.46604541,26.53631782
275,16.219,19.62457401,23.02989148,26.43520187,29.84050821
250,18.749,22.57732183,26.40561725,30.23390411,34.06218606
225,22.111,26.4917943,30.87267071,35.25353653,39.63439631
200,26.759,31.89540444,37.03154815,42.16767846,47.30380111
175,33.528,39.76168963,45.99557625,52.22944537,58.46330449
150,44.100,52.0734869,60.04659307,68.01967542,75.99274414
125,62.350,73.44591881,84.54169494,95.63743674,106.7331589
100,99.007,116.8713028,134.735245,152.5991336,170.4629916
75,193.662,231.2982441,268.9345036,306.5706677,344.2067773
60,347.964,421.8856229,495.8071506,569.7285292,643.6498226
55,444.420,542.4931884,640.5664631,738.6395601,836.7125557
50,587.027,722.1167538,857.2059713,992.2949738,1127.383853
45,808.254,1002.866004,1197.47707,1392.08787,1586.698519
40,1172.317,1468.398682,1764.479301,2060.559584,2356.639674
35,1817.510,2299.645256,2781.779173,3263.912651,3746.045878
30,3075.660,3932.465208,4789.26882,5646.071833,6502.874504
25,5864.734,7577.040365,9289.344963,11001.6487,12713.95194